pipe_no,from_node,to_node,lenght_m,diameter_mm,heat_transfer_coefficient_W/mK,roughness_mm
1,1,2,257.6,125,0.321,0.4
2,2,3,97.5,40,0.21,0.4
3,2,4,51,40,0.21,0.4
4,2,5,59.5,100,0.327,0.4
5,5,6,271.3,32,0.189,0.4
6,5,7,235.4,65,0.236,0.4
7,7,8,177.3,40,0.21,0.4
8,7,9,102.8,40,0.21,0.4
9,7,10,247.7,40,0.21,0.4
10,5,11,160.8,100,0.327,0.4
11,11,12,129.1,40,0.21,0.4
12,11,13,186.1,100,0.327,0.4
13,13,14,136.2,80,0.278,0.4
14,14,15,41.8,50,0.219,0.4
15,15,16,116.8,32,0.189,0.4
16,15,17,136.4,32,0.189,0.4
17,14,18,136.4,32,0.189,0.4
18,14,19,44.9,80,0.278,0.4
19,19,20,136.4,32,0.189,0.4
20,19,21,134.1,32,0.189,0.4
21,19,22,41.7,65,0.236,0.4
22,22,23,161.1,32,0.189,0.4
23,22,24,134.2,32,0.189,0.4
24,22,25,52.1,65,0.236,0.4
25,25,26,136,32,0.189,0.4
26,25,27,123.3,32,0.189,0.4
27,25,28,61.8,40,0.21,0.4
28,28,29,95.2,32,0.189,0.4
29,28,30,105.1,32,0.189,0.4
30,31,28,70.6,125,0.321,0.4
31,31,7,261.8,125,0.321,0.4
32,32,11,201.3,125,0.321,0.4
